,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
272,Ongandjera,-17.88,15.07,296.61,20,0,1.83,NA,1594570316
273,Ratnagiri,16.98,73.3,300.67,82,100,3.08,IN,1594570316
274,Narsaq,60.92,-46.05,290.15,59,99,2.6,GL,1594570316
275,Arroyo de la Encomienda,41.61,-4.8,296.15,60,75,7.7,ES,1594570316
276,Río Gallegos,-51.62,-69.22,270.15,100,0,7.7,AR,1594570316
277,Susanville,40.42,-120.65,292.15,25,1,1.09,US,1594570273
278,Verkhnyaya Inta,65.98,60.31,289.83,82,73,7.55,RU,1594570316
279,Los Llanos de Aridane,28.66,-17.92,298.15,65,20,6.2,ES,1594570316
280,Zadar,44.12,15.24,301.15,30,0,6.2,HR,1594570316
281,Centralia,46.72,-122.95,289.82,82,90,0.91,US,1594570317
282,Tura,25.52,90.22,297.3,97,74,2.83,IN,1594570317
283,Haines Junction,60.75,-137.51,284.94,62,87,1.76,CA,1594570317
284,Kropotkin,45.44,40.58,302.18,49,59,2.27,RU,1594570317
285,Kruisfontein,-34.0,24.73,285.62,39,0,2.48,ZA,1594570317
286,Vila Franca do Campo,37.72,-25.43,296.15,64,20,4.6,PT,1594570317
287,Anzio,41.49,12.62,304.26,63,0,3.13,IT,1594570317
288,Várzea da Palma,-17.6,-44.73,302.64,28,0,1.58,BR,1594570317
289,Marawi,8.0,124.29,297.59,86,100,2.24,PH,1594570318
290,Necochea,-38.55,-58.74,281.73,53,5,11.61,AR,1594570318
291,Bontang,0.13,117.5,296.87,92,99,2.47,ID,1594570082
292,Quepos,9.42,-84.17,298.15,61,75,6.2,CR,1594570318
293,Maromitsa,59.87,48.01,292.93,64,5,2.43,RU,1594570318
294,Airai,-8.93,125.41,286.9,100,98,1.88,TL,1594570318
295,Vestmannaeyjar,63.44,-20.27,283.15,100,90,4.1,IS,1594570318
296,Anadyr,64.75,177.48,283.15,76,100,3.0,RU,1594570318
297,Cuenca,-2.88,-78.98,290.52,56,40,2.46,EC,1594570233
298,Guerrero Negro,27.98,-114.06,299.63,44,0,6.35,MX,1594570319
299,Ibrā’,22.69,58.53,306.18,48,100,7.02,OM,1594570319
300,Caravelas,-17.71,-39.25,299.45,57,11,2.9,BR,1594570319
301,Nālūt,30.33,10.85,312.11,12,4,8.28,LY,1594570319
302,Takoradze,4.88,-1.76,298.68,78,53,5.0,GH,1594570319
303,Rocky Mountain House,52.37,-114.92,286.32,88,62,2.66,CA,1594570320
304,Port Lincoln,-34.73,135.87,284.87,83,0,2.55,AU,1594570287
305,Chunoyar,57.45,97.32,287.03,76,0,1.1,RU,1594570320
306,Ambilobe,-13.2,49.05,295.54,76,1,0.89,MG,1594570320
307,Wollongong,-34.43,150.88,284.26,88,100,1.34,AU,1594570200
308,Poconé,-16.26,-56.62,307.65,27,78,4.34,BR,1594570320
309,San Cristobal,7.77,-72.22,301.15,61,40,2.1,VE,1594570320
310,Shizuishan,39.23,106.77,296.38,53,0,3.99,CN,1594570321
311,Constitución,-35.33,-72.42,287.06,64,100,1.6,CL,1594570321
312,Carauari,-4.88,-66.9,300.09,87,100,0.99,BR,1594570321
313,Winnemucca,40.97,-117.74,296.15,15,1,1.5,US,1594570321
314,Manggar,-2.88,108.27,300.53,81,99,6.35,ID,1594570321
315,Baculin,7.45,126.58,298.98,78,100,2.83,PH,1594570321
316,Fengcheng,40.45,124.07,293.19,77,94,1.13,CN,1594570321
317,Monrovia,6.3,-10.8,301.15,74,75,3.1,LR,1594570321
318,Safaga,26.73,33.94,310.15,22,25,9.3,EG,1594570322
319,Mayumba,-3.43,10.66,296.01,82,96,3.41,GA,1594570322
320,Clyde River,70.47,-68.59,280.15,93,90,4.6,CA,1594570322
321,Voh,-20.97,164.7,291.1,88,1,2.33,NC,1594570322
322,Quang Ngai,15.12,108.8,299.48,85,41,1.72,VN,1594570322
323,Gizo Government Station,-8.1,156.84,301.01,78,84,4.32,SB,1594570322
324,Kamenka,51.32,42.77,303.15,41,0,1.34,RU,1594570322
325,Doha,25.29,51.53,310.93,53,14,3.1,QA,1594570323
326,Dayong,25.02,118.29,303.15,79,97,2.0,CN,1594570323
327,Hobyo,5.35,48.53,300.15,74,61,11.45,SO,1594570323
328,Buchanan,5.88,-10.05,301.15,74,75,3.1,LR,1594570323
329,Rawson,-43.3,-65.1,279.83,56,0,11.88,AR,1594570323
330,Tessalit,20.2,1.01,312.99,16,59,4.25,ML,1594570323
331,Faanui,-16.48,-151.75,298.88,78,100,7.26,PF,1594570323
332,Xining,36.62,101.77,287.44,67,17,0.47,CN,1594570195
333,Viedma,-40.81,-63.0,281.69,50,0,10.07,AR,1594570323
334,St. George's,12.06,-61.75,304.15,70,40,8.7,GD,1594570323
335,Lyuban',52.8,28.0,285.74,92,100,3.07,BY,1594570324
336,Ballina,-28.87,153.57,287.59,93,40,3.27,AU,1594570324
337,Mount Isa,-20.73,139.5,284.15,43,0,4.6,AU,1594570324
338,Adrar,20.5,-10.07,312.46,21,19,2.09,MR,1594570324
339,Two Rivers,44.15,-87.57,294.82,64,90,4.6,US,1594570236
340,Ternate,0.8,127.4,300.05,76,100,0.2,ID,1594570325
341,Micheweni,-4.97,39.83,298.16,78,0,5.6,TZ,1594570325
342,Hauterive,46.09,3.45,301.15,30,0,2.6,FR,1594570325
343,Brownsburg,39.84,-86.4,297.59,69,75,3.1,US,1594570163
344,Yudong,29.39,106.52,297.15,100,40,2.0,CN,1594570325
345,Tefé,-3.35,-64.71,301.15,88,40,3.1,BR,1594570325
346,Olafsvik,64.89,-23.71,284.14,77,87,4.78,IS,1594570325
347,Vidisha,23.53,77.82,297.15,94,75,4.1,IN,1594570325
348,Greenfield,42.96,-88.01,297.04,64,40,5.7,US,1594570026
349,Yining,29.04,114.56,298.03,89,100,1.04,CN,1594570326
350,Ust-Maya,60.42,134.53,290.0,78,4,1.49,RU,1594570326
351,Avera,33.19,-82.53,304.15,55,1,2.6,US,1594570326
352,Andenes,69.31,16.12,285.15,76,75,1.5,NO,1594570326
353,Turukhansk,65.82,87.98,286.09,79,47,1.39,RU,1594570326
354,Znamenka,52.42,41.43,297.14,63,0,2.3,RU,1594570326
355,Tadine,-21.55,167.88,294.87,82,73,7.5,NC,1594570326
356,Sambava,-14.27,50.17,295.41,83,1,5.17,MG,1594570327
357,Oxelösund,58.67,17.1,292.15,48,92,6.2,SE,1594570327
358,Fairbanks,64.84,-147.72,284.82,71,90,3.1,US,1594570327
359,El Carmen,8.51,-73.45,298.78,74,87,0.85,CO,1594570327
360,Cascais,38.7,-9.42,305.15,45,11,3.1,PT,1594570327
361,Valdivia,-39.81,-73.25,280.15,100,90,1.0,CL,1594570327
362,Newport,51.59,-3.0,295.93,44,43,0.89,GB,1594570327
363,Nelson Bay,-32.72,152.15,284.26,100,90,2.6,AU,1594570327
364,São Gabriel da Cachoeira,-0.13,-67.09,299.76,82,97,0.81,BR,1594570327
365,Sur,22.57,59.53,304.06,66,67,6.4,OM,1594570328
366,Yoichi,43.2,140.77,290.93,96,0,2.12,JP,1594570328
367,Coquimbo,-29.95,-71.34,286.15,82,37,3.6,CL,1594570078
368,Khvastovichi,53.47,35.09,302.15,45,75,1.0,RU,1594570328
369,Nexø,55.06,15.13,289.15,77,0,8.2,DK,1594570328
370,Rancho Palos Verdes,33.74,-118.39,298.15,78,5,0.83,US,1594570116
371,Ndélé,8.41,20.65,299.26,86,68,1.48,CF,1594570328
372,Husavik,66.04,-17.34,287.15,71,85,6.2,IS,1594570329
373,Ciudad Bolivar,8.12,-63.55,303.15,62,42,2.86,VE,1594570314
374,Chardara,41.25,67.97,304.23,26,0,7.54,KZ,1594570329
375,Nyurba,63.28,118.33,289.9,70,26,0.87,RU,1594570329
376,Vershino-Shakhtaminskiy,51.3,117.89,288.23,88,100,0.76,RU,1594570329
377,Kedrovyy,56.17,91.82,288.15,87,1,1.0,RU,1594570329
378,Shache,38.42,77.24,299.66,21,100,1.66,CN,1594570329
379,Goryachiy Klyuch,44.63,39.13,310.37,28,40,2.0,RU,1594570329
380,Madang,-5.22,145.8,297.87,87,97,1.07,PG,1594570329
381,Lagoa,39.05,-27.98,293.51,78,0,7.81,PT,1594570329
382,Vermillion,42.78,-96.93,297.15,69,1,0.95,US,1594570330
383,Thiene,45.71,11.48,299.82,43,89,0.45,IT,1594570330
384,Sungai Penuh,-2.08,101.38,291.54,94,87,0.94,ID,1594570330
385,Wagar,16.15,36.2,312.7,19,6,5.15,SD,1594570330
386,Dingle,11.0,122.67,298.64,87,89,1.05,PH,1594570329
387,Celestún,20.87,-90.4,303.1,62,0,3.54,MX,1594570330
388,Tiznit Province,29.58,-9.5,308.67,22,63,4.07,MA,1594570330
389,Guiratinga,-16.35,-53.76,305.12,27,54,3.02,BR,1594570331
390,Ambulu,-8.35,113.61,296.77,88,46,1.55,ID,1594570331
391,Pisco,-13.7,-76.22,290.37,77,6,2.6,PE,1594570331
392,Marrakesh,31.63,-8.01,314.15,20,40,2.1,MA,1594570057
393,Filingué,14.35,3.32,310.17,30,3,4.61,NE,1594570331
394,Shimoda,34.67,138.95,291.48,95,100,0.45,JP,1594570331
395,Cherskiy,68.75,161.3,282.1,95,99,1.08,RU,1594570331
396,Luganville,-15.53,167.17,298.15,88,75,2.6,VU,1594570332
397,Codrington,-38.27,141.97,279.77,91,0,1.34,AU,1594570332
398,Berdigestyakh,62.1,126.7,294.16,88,1,1.32,RU,1594570332
399,Sola,-13.88,167.55,300.15,83,75,5.1,VU,1594570332
400,Provideniya,64.38,-173.3,282.8,67,4,1.03,RU,1594570326
401,Tilichiki,60.47,166.1,281.89,100,89,2.16,RU,1594570332
402,Mitsamiouli,-11.38,43.28,298.65,75,1,2.59,KM,1594570332
403,Cabedelo,-6.98,-34.83,302.15,58,20,7.2,BR,1594570332
404,Praia da Vitória,38.73,-27.07,297.15,57,20,5.63,PT,1594570332
405,Atambua,-9.11,124.89,294.83,83,88,2.79,ID,1594570333
406,Kamaishi,39.27,141.88,289.38,87,29,2.69,JP,1594570333
407,Nago,26.59,127.98,301.15,88,1,3.1,JP,1594570333
408,Deputatsky,69.3,139.9,284.83,70,13,1.48,RU,1594570333
409,Jagtiāl,18.8,78.93,301.59,74,100,1.37,IN,1594570333
410,Thinadhoo,0.53,72.93,302.75,69,66,2.93,MV,1594570333
411,Porto-Novo,6.5,2.6,300.15,83,40,5.7,BJ,1594570333
412,Nuevo Progreso,23.17,-97.95,306.48,71,57,3.13,MX,1594570333
413,Bilibino,68.05,166.44,287.62,87,99,0.51,RU,1594570333
414,San Andrés,12.58,-81.7,300.15,78,75,9.8,CO,1594570334
415,Kenai,60.55,-151.26,285.15,93,90,5.7,US,1594570334
416,Mayo,38.89,-76.51,303.71,48,1,3.6,US,1594570334
417,São João da Barra,-21.64,-41.05,300.15,51,50,4.1,BR,1594570181
418,Oxapampa,-10.58,-75.4,294.81,60,30,1.98,PE,1594570334
419,Camocim,-2.9,-40.84,304.83,49,65,3.65,BR,1594570334
420,Alamosa,37.47,-105.87,295.15,33,1,2.1,US,1594570201
421,Kitimat,54.05,-128.65,283.15,93,75,4.6,CA,1594570335
422,Maceió,-9.67,-35.74,301.15,61,40,6.7,BR,1594570335
423,Tsabong,-26.02,22.4,286.9,31,0,4.63,BW,1594570335
424,Helena,46.59,-112.04,297.15,31,1,5.7,US,1594570165
425,Bila Tserkva,49.81,30.11,291.06,88,79,8.08,UA,1594570104
426,Seoul,37.57,126.98,295.15,83,90,2.1,KR,1594569751
427,Songjianghe,42.19,127.48,288.21,90,100,1.3,CN,1594570335
428,Port Hardy,50.7,-127.42,285.15,93,90,2.1,CA,1594570335
429,Yar-Sale,66.83,70.83,288.2,67,67,1.88,RU,1594570335
430,Diapaga,12.07,1.79,308.17,36,40,1.38,BF,1594570335
431,Bonavista,48.65,-53.11,291.48,77,59,3.13,CA,1594570336
432,Qui Nhon,13.77,109.23,300.7,81,43,2.1,VN,1594570336
433,Kaeo,-35.1,173.78,283.15,3,61,0.89,NZ,1594570336
434,Pathein,16.78,94.73,300.25,87,100,1.78,MM,1594570336
435,Russell,32.35,-85.2,305.37,58,1,2.27,US,1594570336
436,‘Ewa Beach,21.32,-158.01,298.15,73,1,2.1,US,1594570158
437,Tynda,55.17,124.72,292.86,67,17,0.39,RU,1594570337
438,Diamantino,-14.41,-56.45,306.17,30,94,3.0,BR,1594570337
439,Biak,-0.91,122.88,298.01,82,88,2.9,ID,1594570337
440,Yatou,37.15,122.38,293.73,91,100,9.78,CN,1594570337
441,São José do Calçado,-21.03,-41.65,300.36,40,61,2.82,BR,1594570337
442,Sisimiut,66.94,-53.67,284.86,53,87,5.18,GL,1594570338
443,Taltal,-25.4,-70.48,290.99,54,16,1.37,CL,1594570338
444,Cidreira,-30.18,-50.21,288.37,95,88,2.87,BR,1594570238
445,Idrinskoye,54.37,92.14,287.61,79,79,1.31,RU,1594570338
446,La Paz,-16.5,-68.15,283.15,4,0,2.1,BO,1594569787
447,Moerai,-22.43,-151.33,296.39,78,15,2.87,PF,1594570338
448,Zhezkazgan,47.8,67.71,303.54,34,6,3.88,KZ,1594570338
449,Richards Bay,-28.78,32.04,288.69,59,11,1.35,ZA,1594570338
450,Trincomalee,8.57,81.23,300.96,75,68,6.46,LK,1594570338
451,Mnogovershinnyy,53.94,139.92,283.09,96,93,0.55,RU,1594570338
452,Roebourne,-20.78,117.13,291.52,27,0,5.1,AU,1594570338
453,Bafoulabé,13.81,-10.83,307.51,45,91,0.7,ML,1594570339
454,Taoudenni,22.68,-3.98,316.0,16,75,2.06,ML,1594570339
455,Hūn,29.13,15.95,310.1,16,0,6.23,LY,1594570146
456,Tazovsky,67.47,78.7,284.55,70,100,1.17,RU,1594570339
457,Methóni,36.82,21.7,302.59,54,20,2.1,GR,1594570339
458,Bakel,14.9,-12.46,308.27,41,47,2.88,SN,1594570339
459,Pierre,44.37,-100.35,295.15,73,1,3.6,US,1594570113
460,Feicheng,35.26,117.97,292.88,92,100,2.05,CN,1594570339
461,Tàrrega,41.65,1.14,305.37,59,20,5.81,ES,1594570340
462,Battle Creek,42.32,-85.18,297.59,60,90,2.6,US,1594570340
463,Cosalá,24.41,-106.69,302.59,87,94,3.13,MX,1594570340
464,Langxiang,46.95,128.88,290.66,91,0,0.78,CN,1594570340
465,Midleton,51.92,-8.18,289.82,82,75,6.2,IE,1594570340
466,College,64.86,-147.8,284.82,71,75,2.1,US,1594570330
467,Werda,-25.27,23.28,286.76,29,0,3.22,BW,1594570341
468,Bonthe,7.53,-12.51,300.0,76,92,6.06,SL,1594570341
469,Gediz,39.04,29.41,299.69,42,44,5.39,TR,1594570341
470,Teya,60.38,92.63,289.48,78,99,1.77,RU,1594570341
471,Macao,22.2,113.55,303.15,84,20,5.1,MO,1594570341
472,Shubarshi,48.59,57.19,307.22,24,54,2.5,KZ,1594570341
473,Søgne,58.08,7.82,291.15,59,75,4.1,NO,1594570341
474,Caetité,-14.07,-42.48,298.78,36,4,3.89,BR,1594570341
475,Acaraú,-2.89,-40.12,303.55,55,29,4.82,BR,1594570342
476,Amapá,1.0,-52.0,304.43,52,18,2.24,BR,1594570342
477,Rabo de Peixe,37.8,-25.58,296.15,64,20,4.6,PT,1594570342
478,Bagdarin,54.43,113.6,286.97,88,86,0.93,RU,1594570342
479,Washougal,45.58,-122.35,291.48,63,90,0.56,US,1594570342
480,Wolfenbüttel,52.17,10.55,294.15,35,16,4.1,DE,1594570342
481,Srednekolymsk,67.45,153.68,285.65,73,0,0.78,RU,1594570326
482,Darnah,32.77,22.64,298.62,72,0,10.07,LY,1594570342
483,Uvira,-3.41,29.15,298.96,57,18,3.62,CD,1594570342
484,Kodinsk,58.69,99.18,287.36,74,53,1.08,RU,1594570335
485,Lumphat,13.49,106.98,297.74,96,100,0.83,KH,1594570343
486,Santa Maria,-29.68,-53.81,290.0,93,93,2.57,BR,1594570236
487,Fortuna,40.6,-124.16,289.82,87,1,2.17,US,1594570343
488,Mykolayiv,46.97,32.0,305.15,27,0,2.0,UA,1594570343
489,Suntar,62.14,117.63,290.63,89,61,1.3,RU,1594570325
490,Port Hedland,-20.32,118.57,287.15,28,2,3.1,AU,1594570343
491,Pitkyaranta,61.57,31.48,290.13,64,100,3.37,RU,1594570344
492,Ubari,26.59,12.78,312.32,8,0,5.73,LY,1594570344
493,Saint-Augustin,51.23,-58.65,289.1,95,100,6.87,CA,1594570344
494,Solnechnyy,50.72,136.63,288.88,82,3,1.27,RU,1594570344
495,Binga,-17.62,27.34,293.69,31,0,0.67,ZW,1594570344
496,Oddur,4.12,43.89,299.97,59,94,7.98,SO,1594570344
497,Bogomila,41.59,21.47,296.15,53,20,11.8,MK,1594570344
498,Plettenberg Bay,-34.05,23.37,289.29,40,0,2.6,ZA,1594570344
499,Matadi,-5.82,13.45,304.84,38,10,3.39,CD,1594570344
500,Petropavlovsk-Kamchatskiy,53.05,158.65,286.15,100,75,2.0,RU,1594570345
501,Lampazos de Naranjo,27.02,-100.52,306.96,38,0,0.61,MX,1594570345
502,Guadalajara,20.67,-103.33,295.93,73,75,1.5,MX,1594570179
503,Maltahöhe,-24.83,16.98,291.67,22,0,6.08,NA,1594570345
504,Parakai,-36.65,174.43,285.37,92,94,0.45,NZ,1594570345
505,Labuhan,-6.88,112.21,299.24,81,94,2.91,ID,1594570345
506,Chegutu,-18.13,30.14,290.94,29,0,4.29,ZW,1594570346
507,Kiryat Gat,31.61,34.76,302.59,63,0,0.45,IL,1594570332
508,Tashtyp,52.79,89.9,286.85,86,4,0.87,RU,1594570346
509,Naze,28.37,129.48,300.15,94,99,2.6,JP,1594570346
510,San Jose,37.34,-121.89,296.48,68,5,1.04,US,1594570084
511,Kirakira,-10.45,161.92,299.25,84,87,6.09,SB,1594570346
512,Bilma,18.69,12.92,312.76,17,47,1.38,NE,1594570346
513,Padang,-0.95,100.35,299.06,79,93,2.27,ID,1594570346
514,Fukagawa,43.71,142.04,287.63,81,54,0.94,JP,1594570347
515,Kiunga,-6.12,141.29,295.52,98,84,0.26,PG,1594570347
516,Araouane,18.9,-3.53,313.55,18,12,2.29,ML,1594570347
517,Mocuba,-16.84,36.99,293.96,85,14,4.45,MZ,1594570347
518,Nerchinskiy Zavod,51.31,119.61,290.78,44,26,0.8,RU,1594570347
519,Huarmey,-10.07,-78.15,292.45,66,56,3.36,PE,1594570347
520,Taicheng,38.73,113.23,289.18,89,80,0.11,CN,1594570347
521,Puerto Madero,14.72,-92.42,302.15,79,5,1.0,MX,1594570348
522,Konëvo,62.12,39.32,292.38,58,75,1.68,RU,1594570348
523,Uthal,25.81,66.62,302.15,75,43,6.6,PK,1594570348
524,Nishihara,26.18,127.76,302.15,88,20,4.1,JP,1594570348
525,Ferkessédougou,9.6,-5.2,302.46,62,50,2.65,CI,1594570348
526,Okahandja,-21.98,16.92,294.15,13,0,4.1,NA,1594570348
527,Kimbe,-5.55,150.14,297.26,88,100,1.98,PG,1594570203
528,Sarkand,45.41,79.92,289.22,52,22,2.27,KZ,1594570348
529,Hanna,51.63,-111.9,292.59,62,0,3.13,CA,1594570349
530,Oriximiná,-1.77,-55.87,305.11,53,63,2.84,BR,1594570349
531,Torit,4.41,32.57,297.5,77,38,1.44,SS,1594570205
532,Xiuyan,40.29,123.27,292.69,86,94,0.9,CN,1594570349
533,Vao,-22.67,167.48,294.88,81,1,9.5,NC,1594570349
534,Mehamn,71.04,27.85,284.15,71,43,2.6,NO,1594570349
535,Shestakovo,56.49,103.96,288.04,71,2,1.41,RU,1594570349
536,Baisha,26.52,110.93,297.7,81,99,1.73,CN,1594570349
537,Severobaykal'sk,55.65,109.32,288.43,75,3,1.52,RU,1594570349
538,Mackenzie,55.3,-123.17,283.15,81,97,3.6,CA,1594570350
539,Burgthann,49.35,11.31,295.93,30,57,2.1,DE,1594570350
540,Uíge,-7.61,15.06,296.15,69,20,4.1,AO,1594570350
541,Yerbogachën,61.28,108.01,286.9,79,1,1.31,RU,1594570350
542,Kodino,63.72,39.64,291.33,63,53,1.33,RU,1594570350
543,Plattsburgh,44.7,-73.45,299.15,65,75,3.1,US,1594570211
544,Belmonte,-15.86,-38.88,298.15,69,40,2.6,BR,1594570350
545,Abalak,58.13,68.59,292.1,68,5,2.21,RU,1594570324
